symbol,type,entry_time,entry_price,exit_time,exit_price,units,pnl,pnl_pct,holding_hours,exit_reason,signal_quality
USDJPY,long,2024-07-16 00:00:00,158.128,2024-07-16 04:00:00,158.633,166.29607823403305,83.97951950819066,0.003193615298998431,4.0,quick_profit_20pips,0.8
USDCHF,long,2024-07-15 12:00:00,0.8944,2024-07-16 08:00:00,0.8946,29395.788832892642,5.8791577665778805,0.00022361359570659435,20.0,time_stop_12h,0.8333333333333334
GBPUSD,short,2024-07-16 12:00:00,1.29702,2024-07-16 20:00:00,1.29736,20292.404251110853,-6.899417445377831,-0.00026213936562274057,8.0,stop_loss,0.8333333333333334
USDCHF,long,2024-07-16 08:00:00,0.8946,2024-07-17 00:00:00,0.89338,39227.44490912259,-47.85748278912951,-0.0013637379834562922,16.0,time_stop_12h,0.8666666666666666
USDJPY,short,2024-07-16 08:00:00,158.467,2024-07-17 00:00:00,158.345,166.08918047149123,20.26288001752427,0.0007698763780472533,16.0,time_stop_12h,0.7999999999999998
EURUSD,long,2024-07-16 16:00:00,1.08847,2024-07-17 08:00:00,1.09088,24180.41302174226,58.27479538239941,0.002214117063400942,16.0,quick_profit_20pips,0.7666666666666666
GBPUSD,short,2024-07-16 20:00:00,1.29736,2024-07-17 08:00:00,1.3009,20285.690220676133,-71.81134338119101,-0.0027286181167909267,12.0,stop_loss,0.8
USDJPY,short,2024-07-17 00:00:00,158.345,2024-07-17 08:00:00,156.993,166.1599638856222,224.64827117336185,0.008538318229183137,8.0,quick_profit_20pips,0.8
USDCHF,long,2024-07-17 00:00:00,0.89338,2024-07-17 12:00:00,0.8863,29450.625133167126,-208.51042594282254,-0.00792495914392529,12.0,stop_loss,0.8
USDCHF,long,2024-07-17 12:00:00,0.8863,2024-07-17 20:00:00,0.8834,29686.654994913886,-86.09129948525067,-0.0032720297867539364,8.0,stop_loss,0.8333333333333334
USDJPY,short,2024-07-17 12:00:00,156.512,2024-07-17 20:00:00,156.181,168.1103194770508,55.644515746901945,0.002114853813126079,8.0,quick_profit_20pips,0.7666666666666666
GBPUSD,short,2024-07-17 08:00:00,1.3009,2024-07-18 00:00:00,1.3009,27023.359529353696,0.0,0.0,16.0,time_stop_12h,0.8666666666666666
USDCHF,long,2024-07-18 08:00:00,0.8836,2024-07-18 16:00:00,0.88577,29768.32281718069,64.59726051327895,0.0024558623811678296,8.0,quick_profit_20pips,0.7666666666666666
GBPUSD,short,2024-07-18 12:00:00,1.29821,2024-07-18 20:00:00,1.29453,27014.930857371157,99.41494555512931,0.002834672356552582,8.0,quick_profit_20pips,0.9333333333333333
USDJPY,short,2024-07-18 12:00:00,156.496,2024-07-18 20:00:00,157.361,168.07643672209423,-145.38611776460826,-0.005527297822308434,8.0,stop_loss,0.7666666666666666
EURUSD,long,2024-07-18 16:00:00,1.09131,2024-07-19 04:00:00,1.08878,24118.029544442546,-61.018614747437745,-0.0023183146860194822,12.0,stop_loss,0.7666666666666666
GBPUSD,short,2024-07-18 20:00:00,1.29453,2024-07-19 20:00:00,1.29105,20322.572199516897,70.72255125431732,0.0026882343398761926,24.0,quick_profit_20pips,0.8
USDJPY,short,2024-07-19 08:00:00,157.353,2024-07-22 00:00:00,157.395,167.0903128829409,-7.017793141083784,-0.0002669157880688744,64.0,time_stop_12h,0.7999999999999998
USDCHF,long,2024-07-19 08:00:00,0.88862,2024-07-22 00:00:00,0.8879,29587.632512288048,-21.303095408845707,-0.0008102450991424264,64.0,time_stop_12h,0.7666666666666666
USDCHF,long,2024-07-22 08:00:00,0.88794,2024-07-22 16:00:00,0.89004,29622.826361611493,62.20793535938715,0.002365024663828752,8.0,quick_profit_20pips,0.7666666666666666
GBPUSD,short,2024-07-22 08:00:00,1.29224,2024-07-22 20:00:00,1.29285,20354.80440129489,-12.416430684789871,-0.00047204853587568826,12.0,stop_loss,0.7666666666666666
